2023/04/16 10:22:33 [error] 15716#7620: *100 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:27:24 [error] 15716#7620: *101 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:27:28 [error] 15716#7620: *102 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:28:16 [error] 15716#7620: *103 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:28:58 [error] 15716#7620: *104 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:29:01 [error] 15716#7620: *105 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:29:24 [error] 15716#7620: *106 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:29:46 [error] 15716#7620: *107 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:29:52 [error] 15716#7620: *108 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:30:00 [error] 15716#7620: *109 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:30:02 [error] 15716#7620: *110 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:30:03 [error] 15716#7620: *111 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
2023/04/16 10:30:04 [error] 15716#7620: *112 CreateFile() "C:\Users\sametta.naga\Downloads\nginx-1.23.4\nginx-1.23.4/html/img.jpg" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /img.jpg HTTP/1.1", host: "localhost", referrer: "http://localhost:4200/"
